Poly Bridge 2 - W0256 "Weekly Challenge #256" any% leaderboard (* = breaks)
Updated 2026-01-16T00:56:46.094Z
52/67 unique ranks shown

    1. $44,285  honky
    2. $49,000  silverchario2
    3. $50,000  琉璃兔丶
    4. $50,892  uselessuser2023
    5. $60,434  1804258460
   *6. $60,956  Jonny
    7. $61,002  jimallen.97062
    8. $61,298  Lofull
    9. $61,751  Face7
   10. $65,860  rpdladmsdnsqkf
   11. $65,920  okanehoshii100000000
   12. $66,149  alaincorbe55
   13. $66,218  valter
   14. $66,870  kryckmannen
   15. $67,241  jeremywinick
   16. $68,245  sodaprince79
   17. $68,275  bigmonsterrobot
   18. $68,416  brettadc
   19. $68,474  1842554291
   20. $68,698  imok_imok
   21. $68,907  cubbieco
   22. $68,941  Solar_Flare_Voyager
   23. $68,948  mayumi0402yuhi0709
   24. $68,957  carlosmunez88
   25. $68,978  おいちゃん
   26. $68,997  Valarik564
   27. $73,674  TheMobCrafter
  *28. $79,300  Uncommon Rat
   29. $80,410  buksan4
  *30. $81,597  Frozen_Ice
   31. $82,630  c.leonberger
  *32. $82,757  dnememr
   33. $84,845  Zaargus
   34. $87,548  DI3EA3E
   35. $88,592  Green Mario
  *36. $91,938  Daviadinha
   37. $94,738  Distive`
   38. $99,824  sy.area
   39. $100,364 helfer.sascha
   40. $103,931 swtchickadeee
  *41. $107,569 schmellle
   42. $113,350 thatvar1etyguy
   43. $116,679 weber.mark
  *44. $119,577 hsfbc188
  *45. $120,189 yahhoi1yahhoi2
   46. $121,574 1666106599
   47. $132,027 JuJu
  *48. $134,239 DEVEL
   49. $136,979 nils
  *50. $137,865 NomeLegalAqui
   51. $137,888 silger_
  *52. $138,000 傻逼祖父
