Poly Bridge 2 - W0227 "Weekly Challenge #227" any% leaderboard (* = breaks)
Updated 2024-12-31T00:43:09.020Z
19/20 unique ranks shown

    1. $47,818  honky
    2. $67,749  Lasko Laq
    3. $69,703  kryckmannen
    4. $73,267  didacfg12
    5. $78,158  OeTTINGER
    6. $80,000  hoizklezl
    7. $80,647  valter
    8. $90,932  killofki
    9. $104,451 おいちゃん
   10. $107,765 iwantmore29
   11. $107,803 wylie5cents
   12. $109,179 Trickz
   13. $112,538 canevarijp
   14. $113,845 hsfbc188
   15. $123,582 Bennyboiii
   16. $123,921 crash1340
   17. $124,681 KarisMa
   18. $124,888 brettadc
   19. $147,916 kalciferthegreat
