Poly Bridge 2 - W0237 "Weekly Challenge #237" any% leaderboard (* = breaks)
Updated 2025-03-15T00:45:51.227Z
17/22 unique ranks shown

    1. $6,555  hoizklezl
    2. $6,997  dexbikes06
    3. $7,127  brettadc
    4. $7,578  在追逐晴天
    5. $7,736  フールス
    6. $7,931  Hirwilja
    7. $8,559  Cruzer
    8. $8,703  963378633
    9. $10,678 canevarijp
   10. $13,193 Pathogen
   11. $13,701 lillian918416
   12. $14,850 13911226297
   13. $15,068 おいちゃん
   14. $19,216 nils
   15. $19,246 killofki
  *16. $25,063 3256201730
  *17. $37,033 antonizyg5
